,Year,Fires,Acres,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
0,1983,18229,1323666,5185.052281,2007.56534,2250.393965,745.8370634,109.9323831,58.14978577,13.17374325,1.103303717
1,1984,20493,1148409,5364.824474,2102.722133,2273.937469,810.618423,112.2418886,51.04795906,14.25660175,1.121407074
2,1985,82591,2896147,5545.164717,2250.843592,2274.184209,841.7802003,113.6513248,49.62015476,15.08523583,1.138422051
3,1986,85907,2719162,5627.626544,2278.320561,2342.824444,825.2352986,118.5413399,46.4251425,16.27975792,1.134472231
4,1987,71300,2447296,5804.092395,2357.355774,2365.384092,892.716174,123.7021165,44.62692587,20.30731209,1.1487515
5,1988,72750,5009290,6032.041345,2437.971713,2450.508755,937.6104036,130.8149583,50.80064938,24.33486627,1.172311357
6,1989,48949,1827310,6115.401888,2444.467376,2493.903969,977.7425062,134.2957841,41.32707824,23.66517467,1.167631528
7,1990,66481,4621621,6208.944967,2378.464253,2515.900273,1048.443668,136.2378255,69.0717264,60.82722116,1.165510731
8,1991,75754,2953578,6342.276787,2356.030929,2644.886339,1069.617553,139.8967962,73.0697074,58.77546223,1.171395961
9,1992,87394,2069929,6159.831954,2301.408179,2507.405926,1081.550913,145.838488,64.75746315,58.87098541,1.12018945
10,1993,58810,1797574,6223.661394,2328.117587,2510.553412,1110.838252,151.7214656,63.73352743,58.69715023,1.115032272
11,1994,79107,4073579,6267.626463,2341.212915,2520.448909,1120.809633,161.710248,64.69032558,58.75443167,1.106738474
12,1995,82234,1840546,6401.185713,2408.039406,2546.907212,1150.397245,171.0018636,64.15514508,60.68484128,1.114371235
13,1996,96363,6065998,6592.511246,2469.531305,2622.215435,1201.367989,174.4153093,64.75402094,60.22718701,1.131782581
14,1997,66196,2856959,6632.246297,2456.156612,2663.798896,1205.535805,179.8191759,66.28348522,60.65232348,1.123149004
15,1998,81043,1329704,6606.515085,2391.285152,2688.417487,1225.256558,178.5839634,63.17591316,59.79601111,1.103883467
16,1999,92487,5626093,6691.85652,2373.034829,2749.723518,1261.63773,186.975076,61.1119704,59.37339623,1.103494842
17,2000,92250,7393493,6887.065298,2459.741278,2806.932499,1292.260494,195.8663918,73.59447643,58.67015804,1.121033974
18,2001,84079,3570911,6946.248498,2473.474836,2831.451712,1305.327193,204.1160007,74.18756649,57.6911897,1.116288818
19,2002,73457,7184712,7106.766233,2580.653777,2830.171855,1343.747271,215.2714472,78.30142456,58.62045824,1.12774072
20,2003,63629,3960842,7469.083868,2797.753276,2910.462634,1390.935817,231.3558768,78.69159065,59.88467337,1.170485378
21,2004,65461,8097880,7813.19133,2974.072759,3006.222036,1437.657899,247.5010133,84.94529983,62.79232229,1.209255315
22,2005,66753,8689389,8079.360588,3157.774587,3030.884511,1472.190197,262.0829554,90.64637552,65.78196186,1.235016113
23,2006,96385,9873745,8347.033319,3335.764851,3059.245252,1506.391677,285.8807982,91.01979279,68.73094831,1.260211496
24,2007,85705,9328045,8595.45349,3496.544109,3069.44229,1557.256844,306.4191622,95.09323335,70.69785179,1.28176587
25,2008,78979,5292468,8752.577513,3612.091973,3057.28246,1602.763667,310.7999209,98.91642153,70.72307067,1.289212429
26,2009,78792,5921786,8626.376204,3566.361094,3001.978854,1572.074376,319.4558993,100.3138317,66.1921489,1.255153286
27,2010,71971,3422724,9100.245757,3812.999868,3085.91503,1693.722826,340.522361,100.1878788,66.89779241,1.308103565
28,2011,74126,8711367,9407.328342,4034.177017,3094.216847,1740.697574,366.6178701,96.69838416,74.92064894,1.336041578
29,2012,67774,9326238,9545.326186,4080.157429,3138.405736,1776.073245,376.0517634,99.45539334,75.1826192,1.339539224
30,2013,47579,4319546,9629.646682,4105.589509,3162.119398,1788.296243,392.6784745,100.9413385,80.02171871,1.335488136
31,2014,63312,3595613,9698.264998,4111.054094,3174.736122,1817.722236,407.7108363,104.1110383,82.93067202,1.32938704
32,2015,68151,10125149,9687.883826,4016.976696,3242.66672,1852.056449,392.2774387,101.6277049,82.27881769,1.312757471
33,2016,67743,5509995,9675.889546,3919.385352,3263.979014,1901.56456,403.5911798,105.8109753,81.55846575,1.296337214
34,2017,71499,10026086,9805.059412,3944.787579,3310.808035,1942.416522,409.5232816,115.4084293,82.11556603,1.299051759
35,2018,58083,8767492,10001.67571,4016.961035,3326.980011,2035.363523,427.6036391,112.5046645,82.26283306,1.310648196
36,2019,50477,4664364,10017.05865,3977.407044,3337.784336,2061.515779,438.9933841,118.6123144,82.74579571,1.298645243
37,2020,58950,10122336,9499.797789,3814.437298,3021.970771,2019.516755,443.8785389,118.7318641,81.26256169,1.218735481
