Lucid Group, Inc. 35.48 +8.46 +31.31%
Ford Motor Company 16.86 +1.35 +8.70%
Apple Inc. 152.57 +3.72 +2.50%
Advanced Micro Devices, Inc. 121.16 -1.12 -0.92%
AT&T Inc. 25.55 +0.49 +1.96%
FuelCell Energy, Inc. 7.57 +0.57 +8.14%
Ambev S.A. 2.9400 +0.2600 +9.70%
Facebook, Inc. 316.92 +4.70 +1.51%
Plug Power Inc. 37.11 +2.70 +7.85%
Itaú Unibanco Holding S.A. 4.2100 -0.0200 -0.47%
Banco Bradesco S.A. 3.6500 -0.0300 -0.82%
Bank of America Corporation 47.78 +0.74 +1.57%
Ocugen, Inc. 10.48 +0.87 +9.05%
Nokia Corporation 5.82 +0.06 +1.04%
Vale S.A. 13.20 -0.27 -2.00%
Snap Inc. 54.39 +2.37 +4.56%
NIO Inc. 40.79 +1.48 +3.76%
Digital World Acquisition Corp. 72.76 +7.87 +12.13%
Futu Holdings Limited 58.47 -8.55 -12.76%
Intel Corporation 48.08 +0.19 +0.40%
Cadence Bancorporation 28.76 +8.45 +41.61%
Petróleo Brasileiro S.A. - Petrobras 10.56 +0.07 +0.67%
Fisker Inc. 15.78 +1.24 +8.53%
Merck & Co., Inc. 86.55 +5.01 +6.14%
Wells Fargo & Company 51.36 +1.31 +2.62%
